X Y jan
527.723921037191 525.034789469397 265
527.702902500282 580.304553330799 263
527.679787906425 635.57519815374 263
527.654578911321 690.84680678644 261
527.627277320963 746.119461790762 257
527.597885091566 801.393245417649 252
527.566404329506 856.668239582648 247
527.532837291246 911.944525841533 248
583.457832508325 27.6348967621793 258
583.451518681799 82.9047318241688 261
583.438891481111 138.174691486717 265
583.419951810969 193.444858775753 265
583.394701028402 248.715316655553 267
583.363140942705 303.986148004103 267
583.325273815387 359.257435588483 266
583.281102360085 414.529262040285 266
583.23062974248 469.801709831068 265
583.173859580184 525.074861247851 265
583.110795942618 580.348798368664 263
583.041443350873 635.623603038153 262
582.965806777554 690.899356843247 260
582.883891646612 746.176141088899 256
582.795703833152 801.454036773903 253
582.701249663236 856.733124566796 251
582.600535913658 912.013484781845 245
639.103497660182 27.6391349020353 257
639.092971911835 82.9174449585996 259
639.071921170766 138.195875760696 262
639.040346948203 193.474507765516 265
638.998251510919 248.753421370521 263
638.945637881154 304.032696889572 263
638.882509836508 359.312414529078 264
638.808871909806 414.592654364185 265
638.72472938894 469.873496314991 264
638.630088316677 525.155020122808 263
638.52495549045 580.43730532647 262
638.40933846211 635.720431238697 263
638.283245537662 691.004476922527 261
638.146685776961 746.289521167807 259
637.999668993395 801.575642467766 253
637.842205753523 856.86291899566 252
637.6743073767 912.151428581523 247
694.759830907796 27.6454941541867 256
694.745089178735 82.9365207855996 259
694.715606782043 138.227662374760 261
694.671385840534 193.518995522265 264
694.612429538335 248.810596771873 262
694.538742120758 304.102542587788 261
694.450328894149 359.394909331967 263
694.347196225682 414.687773241457 263
694.229351543124 469.981210405762 262
694.096803334553 525.275296744255 261
693.949561148042 580.570107983632 259
693.78763559129 635.865719635423 259
693.611038331232 691.162206973558 258
693.419782093585 746.459645011999 258
693.213880662375 801.758108482446 254
692.993348879404 857.057671812114 254
692.758202643685 912.3584091016 249
750.431105242055 27.6539769715731 254
750.41214184447 82.9619666618852 258
750.374216420089 138.270063583099 258
750.317331710435 193.578339187166 264
750.241491827654 248.886864873069 265
750.14670225435 304.19571196566 260
750.032969843363 359.504951694513 262
749.90030281749 414.814655172802 261
749.748710769158 470.124893376214 259
749.57820466003 525.435737121895 260
749.388796820564 580.747257047445 259
749.180500949511 636.059523589958 260
748.953332113358 691.372606965115 257
748.707306745713 746.686577146339 256
748.442442646639 802.00150384402 253
748.158758981918 857.317456484802 254
747.85627628227 912.63450419096 252
806.121599406444 27.6645866282773 253
806.098407018235 82.9937924068972 258
806.052023926555 138.323095742091 259
